MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
THANKS_FAMILIES,"Our Families\n<size=75%>For their trust, patience & love.</size>",家族たちへ：\n<size=75%>信じてくれて、愛をくれて、多くのことを我慢してくれてありがとう。</size>
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,ポートレートを削除しますか？
ENTER_BIO,Enter Character Bio,キャラクターの来歴/伝記を入力
PLAY,Play,プレイ
CHARACTERS,CHARACTERS,キャラクター
BOUGHT,Purchased,購入した物
MOONS_TITLE,Moons,月
MOONS_DESC,You earn one moon per 30 days of survival,30日生き残るごとに、「月」を1つ入手。
SAFETY_MODE_TITLE,Safety Mode,セーフモード
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,セーフモードでは、メニューから一日をリスタートできる。死んでもリスタートできる。
SUNS_TITLE,Suns,太陽
SUNS_DESC,You earn one sun per day of survival,1日生き残るごとに、「太陽」を1つ入手。
STARS_TITLE,Stars,星
STARS_DESC,You earn one star per year of survival,1年生き残るごとに、「星」を1つ入手。
CLOSE,Close,閉じる
CANCEL_ACTION,CANCEL,キャンセル
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,設計図をアンロックするには、探検してアイテムを見つける必要がある
BLUEPRINT_MODELS,BLUEPRINTS,設計図
SEARCH,Search...,探索・・・
LOAD_CHECKPOINT,Load Checkpoint,チェックポイントをロードする
OPTIONS,Options,オプション
LOAD_CUSTOM_CHECKPOINT,Load,ロード
SAVE_CUSTOM_CHECKPOINT,Save,セーブ
REPORT_A_BUG_BUTTON,REPORT A BUG (F2),バグを報告する（F2）
SAVE_AND_QUIT,Save and Quit,セーブしてやめる
CHECKPOINT_CONFIRM,Restart from the start of this day?,１日をやり直す？
MENU,MENU,メニュー
QUIT_CONFIRM,Save and quit to main menu?,保存してメインメニューに戻りますか？
HOLD_SWAP,<b>Hold top/bottom</b> of cards to move stacks.,カードの<b>上/下を長押し</b>でスタックを移動できる。
RIGHT_CLICK,<b>Right click</b> to swap between hand and base row.,<b>右クリック</b>で手とベースの列で入れ替える。
PINS_HELP,<b>Pin</b> cards to save their position.,<b>ピン</b>すればカードの配置を保存できる。
DRAG_AND_HOLD,<b>Drag and hold</b> \nto move stacks.,<b>ドラッグと長押し</b>で\nスタックを移動できる。
ARROWS_HELP,"<b>Tap on arrows</b> to scroll faster, <b>hold</b> to reach the end.",<b>矢印をタップ</b>すれば速くスクロールでき、<b>長押し</b>すれば終わりに移動する。
STACKS_HELP,Click this icon to <b>toggle stacks</b>.,このアイコンをクリックすれば<b>トグル</b>できる。
PREV,PREVIOUS,前へ
BOOKMARK_HELP,<b>Bookmark</b> cards to find them faster and jump to different sections of your rows.,カードを<b>ブックマーク</b>すればカードを早く見つけることができる。
DONT_SHOW_STARTUP,Don't show this on start up.,このページを表示しない。
FILTERS_HELP,Use <b>filters</b> to hide irrelevant cards.,<b>フィルター</b>を使えば不要のカードを隠すことができる。
LOCATION_ROW_HELP,<b>Location Row</b>\n<size=80%>Static landmarks and structures.</size>,<b>場所の列</b>\n<size=80%>ランドマークや建物。</size>
LOCATION_CARD,"Current Location\n<b>(Forage, Clear, Travel)</b>",現在地\n<b>（資源集め、クリア、移動）</b>
HIGH_PRIO_STATUSES,High priority statuses,重要ステータス
HAND_ROW_HELP,<b>Hand Row</b>\n<size=80%>Items you are carrying.\nThey come with you when you travel and affect your encumbrance.</size>,<b>手の列</b>\n<size=80%>持ってるアイテム。\n旅に出る時に持つ物。体幹に影響する。</size>
ORGANISE_ROWS,"<size=125%><b>Organise your rows</b></size>\nGroup your cards together by use, <b>pin</b> them and <b>bookmark</b> one of them to quickly reach that section later.",<size=125%><b>列を整理する</b></size>\nカードをグループにまとめよう。<b>ピン</b>、そして<b>ブックマーク</b>すればすぐに見つけられる。
STATUS_INFO_CLICK,Click on a status for more <b>information</b> and special actions,ステータスをクリックすれば<b>情報</b>と特別アクションが見れる
BASE_ROW_HELP,<b>Base Row</b>\n<size=80%>Items laying around in the current location. They stay if you travel.,<b>ベースの列</b>\n<size=80%>散らばってるアイテムは旅に出ても同じ場所に残る。
ENCUMBRANCE_AND_CHARACTER,"Encumbrance and Character screen\n<b>(Equipment, Wounds, Abilities)</b>",体幹とキャラクター画面\n<b>（道具、傷、アビリティ）</b>
WEATHER_AND_TEMPERATURE,Weather and Temperature,天気と温度
SEASON_AND_TIME,"Clock and Resting\n<b>(Rest, Relax, Nap, Sleep)</b>",時間と休み\n<b>（休憩、リラックス、仮眠、睡眠）</b>
BUG_REPORT_EMAIL,Your Email (Optional),メールアドレス（任意）
BUG_REPORT_DISCORD,Your Discord tag (Optional),Discordのタグ（任意）
BUG_REPORT_TITLE,Bug Title*,バグタイトル*
BUG_REPORT_SEND,Send,送信
BUG_REPORT_DESCRIBE,Describe what happened*,説明*
BUG_REPORT,BUG REPORT,バグ報告
PREPARING_BUG_REPORT,Preparing bug report...,バグの報告を準備中・・・
SENDING_BUG_REPORT,Sending bug report...,バグの報告を送信中・・・
BUG_REPORT_FAILURE,Failed to send bug report...,バグ報告の送信が失敗した・・・
BUG_REPORT_SUCCESS,Bug report sent! \nThank you!,バグ送信完了！\nありがとうございます！
ACCEPT_TRADE,Accept Trade,承諾
QUIT_TRADING,Cancel Trade,交換をやめる
END_GAME_CONFIRM,Are you sure you want to finish this game?\n<b>This slot will be deleted!</b>,本当にこのゲームを終了しますか？\n<b>このスロットは削除されます！</b>
QUESTS_JOURNAL,QUESTS,クエスト
STATS_TITLE,STATS,ステータス
THROW_ONE_AWAY,Throw 1 away,１つ捨てる
THROW_ALL_AWAY,Throw \nall away,全て\n捨てる
AUTOFILL,AUTO-FILL,オートフィル
PLEASE_CLEAR_PROJECT,Please clear current project first.,まずは現在のプロジェクトをクリアしてください。
COMMISSIONS,Commissions,依頼
TRADE,Trade,交換
RENAME_CARD,Rename Card,カードの名前を変更する
SELECT_RECIPE_IMAGE,Select image for custom recipe,カスタムレシピ用の画像を選択
THROW_AWAY,Throw away,捨てる
TAKE_OUT_ITEMS,Take out all items,全てのアイテムを取り出す
NO_RECIPES_YET,No custom recipes saved yet.,まだカスタムレシピは保存されていない。
TAKE_OUT,Take,取る
CONFIRM_CAPS,CONFIRM,確定
BLUEPRINT_RESEARCHED_TITLE,BLUEPRINT RESEARCHED,設計図は研究済み
BLUEPRINT_RESEARCHED_DESC,I discovered a new Blueprint!,新しい設計図を発見した！
PERK_UNLOCKED,PERK UNLOCKED!,特性をアンロックした！
BUY,Buy,購入する
WEATHER_INDICATOR,Weather:,天気：
SURVIVAL_CODEX,SURVIVAL GUIDE,サバイバルガイド
END_GAME,End Game,ゲーム終了
START,Start,スタート
COMPLETE,Complete,完了
DRAG_TO_BUILD,(Drag here to build),(ここにドラッグして建てる)
STAT_DETAILS_STATUS,Status:,ステータス：
PERK_INSTRUCTIONS,Use Perks to create new playable characters!,特性を使って、新しいキャラクターを作ってみよう！
FULL_GAME_FEATURES,"All Characters + Character Creator\nAll Island Environments, Animals, Crops and Blueprints",全キャラクター＋キャラクター製作者\n全ての島の環境、動物、作物、設計図
SAVING_ERROR_TEXT,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.\n\nIn the meantime, what would you like to do?",ゲームファイルを保存時に、エラーが発生してしまいました。\n\n現在のゲームデータは保存できません。もし他のプログラムでこのセーブデータを開いていたら、それがエラーの原因かもしれません。一度プログラムを閉じ、もう一度セーブしてみてください。 \n\n もしまたエラーが発生してしまったら、スチームを通してお問い合わせください。winterspringgames@gmail.com宛にPlayer.log ファイルを送ってください。\n\n 問題が解決されるまで、何しますか？
FOR_THE_FULL_EXPERIENCE,For the full experience click on the image below:,フルゲームをプレイするには、下の画像をクリックして下さい：
GO_TO_MENU,Go to menu,メニューへ
STATS,Stats,ステータス
DIARY,Diary,日記
SKILLS,Skills,スキル
JOURNAL,Journal,ジャーナル
BLUEPRINTS,Blueprints,設計図
WAITING_OPTIONS,Waiting Options,待機オプション
ITEMS_LOST,Some items were lost,いくつかのアイテムを紛失した
FantasySet_SetName,Stylized,スタイル
FantasySet_GoudyMed_SetName,Goudy Medieval,グーディー・メディーバル
FantasySet_GoudyMixed_SetName,Fantasy,ファンタジー
FantasySet_GoudyThirty_SetName,Goudy Thirty,グーディー・サーティ
LegacySet_SetName,Accessible,アクセス可能
TypewriterSet_SetName,Stylized,スタイル
Heavy_CategoryName,Heavy,重い
Light_CategoryName,Light,軽い
Medium_CategoryName,Medium,普通
AwakenedConfirmation_are you ready to open your yes_Line,Are you ready to open your eyes?,目を開ける覚悟はできているか？
AwakenedConfirmation_are you ready to open your yes_PossibleAnswers[1].Answer,No,いいえ
AwakenedConfirmation_time to finally wake up_Line,"Then, it is time to finally wake up.\n\n\nI have been awakened, and so have you.",ならば、ついに目覚める時だ。\n\n\n私が目覚めたように、お前もまた目覚める。
AwakenedConfirmation_time to finally wake up_PossibleAnswers[0].Answer,Open your eyes,目を開ける
AwakenedConfirmation_we shall remain asleep_Line,Then we shall remain asleep.\n\n\nUntil the time is right.,ならば、我らは眠り続けよう。\n\n\nその時が訪れるまで。
AwakenedTalk_who calls_Line,Who speaks?,誰だ？
AwakenedTalk_who calls_PossibleAnswers[0].Answer,Myself,私だ
AwakenedTalk_who calls_PossibleAnswers[1].Answer,No One,誰でもない
AwakenedTalk_who calls_PossibleAnswers[2].Answer,The Will,意志
AwakenedTalk_still remember me_Line,"I see, you still remember me.\n\n\nWe shall once again be together then.",なるほど、まだ私を覚えていたか。\n\n\nならば、再び共に歩むことになる。
AwakenedTalk_why have you sought me_Line,Why have you sought me?,なぜ私を求めた？
AwakenedTalk_why have you sought me_PossibleAnswers[0].Answer,Because I suffer,苦しんでいるから
AwakenedTalk_why have you sought me_PossibleAnswers[1].Answer,Because I feel false,自分が偽りに思えるから
AwakenedTalk_why have you sought me_PossibleAnswers[2].Answer,Because I seek freedom,自由を求めているから
AwakenedTalk_why have you sought me_PossibleAnswers[3].Answer,Because I was\ncalled to,呼ばれた\n気がしたから
AwakenedTalk_not much remains of you_Line,"Not much remains of you, now that the void has devoured you.\n\n\nBut in that devouring, you got rid of your chains, of your masters.\n\n\nPerhaps, now that you are empty and clean, there will be room for me.",虚無に喰われた今、お前にはもうほとんど何も残っていない。\n\n\nだが、その捕食によって、お前は鎖から、支配者たちから解き放たれた。\n\n\n空となり清められた今なら、そこに私の居場所があるのかもしれない。
AwakenedTalk_the will calls and i answer_Line,"The will calls, and I answer.\n\nIt is after all, and will always be, our one true master.",意志が呼び、私は応える。\n\n結局のところ、それこそが今までも、そしてこれからも、我ら唯一の真なる主なのだ。
AwakenedTalk_cannot put an end to your pain_Line,"I cannot put an end to your pain, but I can give you a reason for it.\n\n\nI can fill it with meaning and purpose.\n\n\nI can fill the hollowness that afflicts you, which is the real source of your pain.",私はお前の苦しみを終わらせることはできない。\n\n\nだが、それに理由を与えることはできる。\n\n\n意味と目的で満たすことができる。\n\n\nお前を蝕む空虚・・・その本当の苦痛の源を、私は埋めることができる。
AwakenedTalk_you feel false_Line,"You feel false, because you are. Did the void not tell you that?\n\n\nNow accept your falseness, even if it hurts, and you will become real.\n\n\nEmbrace your ugliness, your evil, your deformity and let go.\n\nBe you, so I can finally be.",お前が偽りに感じるのは、お前が本当に偽りだからだ。虚無はそう告げなかったか？\n\n\nならば、その痛みごと自らの偽りを受け入れろ。そうすれば、お前は本物になれる。\n\n\n醜さを、悪を、歪みを抱きしめ、手放せ。\n\nお前であれ。そうすれば、私もようやく在ることができる。
AwakenedTalk_freedom you will have_Line,"And freedom you will have.\n\n\nYour masters have been exorcised and devoured.\n\n\nEvery spirit that enters your soul from now on, shall be aligned to your will.\n\n\nBe no longer a slave to your beliefs, be now their master.",お前は自由を手にする。\n\n\nお前の支配者たちは祓われ、喰われた。\n\n\nこれからお前の魂へ入り込むすべての霊は、お前の意志に従うだろう。\n\n\nもはや信念の奴隷であるな。今こそ、それらの主となれ。
AwakenedTalk_as i have always been_Line,"Yes, the pressure has always been there, has it not?\n\nThe pressure to be, to express, to manifest.\n\nYou and I are the gate through which our true higher self shall express into this world.\n\nAnd I am glad you have finally found the key.",ああ・・・その圧力はずっとそこにあった。違うか？\n\n存在し、表現し、顕現しようとする圧力が。\n\nお前と私は、真なる高次の自己がこの世界へ現れるための門だ。\n\nそして私は、お前がついに鍵を見つけたことを嬉しく思う。
Dialogue_AgentBadger1_SceneTitle,Badger,アナグマ
Dialogue_AgentBadger1_Badger1Intro_Line,You approach the Badger,アナグマに近づく
Dialogue_AgentBadger2_SceneTitle,Badger,アナグマ
Dialogue_AgentBadger2_Badger2Intro_Line,You approach the Badger,アナグマに近づく
Dialogue_AgentBear_SceneTitle,Bear,クマ
Dialogue_AgentBear_BearIntro_Line,You approach the Bear,アナグマに近づく・・・
Dialogue_AgentBoar_SceneTitle,Boar,イノシシ
Dialogue_AgentBoar_BoarIntro_Line,You approach the Boar,イノシシに近づく・・・
Dialogue_AgentDoe_SceneTitle,Doe,雌鹿
Dialogue_AgentDoe_DoeIntro_Line,You approach the Doe,雌鹿に近づく・・・
Dialogue_AgentDuckQWE_SceneTitle,Ducks,カモ
Dialogue_AgentDuckQWE_Intro_Line,You see a group of ducks.,カモの群れを見つけた。
Dialogue_AgentDuckQWE_Intro_PossibleAnswers[0].Answer,Hunt,狩る
Dialogue_AgentDuckQWE_Intro_PossibleAnswers[1].Answer,Ignore,無視する
Dialogue_AgentFox_SceneTitle,Fox,キツネ
Dialogue_AgentFox_FoxIntro_Line,You approach the Fox,キツネに近づく・・・
Dialogue_AgentMoontouchedAproach_MoontouchedHunt_Line,You approach the Moontouched.,あなたは「月に触れられし者」に近づく。
Dialogue_AgentMoontouchedAproach_MoontouchedHunt_PossibleAnswers[0].Answer,Leave it alone.,放っておく
Dialogue_AgentMoontouchedAproach_MoontouchedHunt_PossibleAnswers[1].Answer,Attack,攻撃
Dialogue_AgentMoontouchedAproach_MoontouchedHunt_PossibleAnswers[2].Answer,Talk,話す
Dialogue_AgentMoontouchedTalk_Intro_Line,A white wolf stands under the silver moonlight.\n\nIt's staring at you.,白いオオカミが銀色の月光の下に立っている。\n\nこちらを見つめている。
